city_name,latitude,longitude,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code
Ad Dakhla,23.7167,-15.95,2026-09-19,20.9,19.8,0.0,0,30.4,38.9,0
Ad Dakhla,23.7167,-15.95,2026-09-20,21.3,19.5,0.0,0,31.2,40.7,3
Ad Dakhla,23.7167,-15.95,2026-09-21,21.6,19.1,0.0,11,24.5,38.2,0
Nador,35.1667,-2.9333,2026-09-15,26.6,21.7,0.0,0,11.2,26.6,3
Nador,35.1667,-2.9333,2026-09-16,29.9,21.8,0.0,0,10.5,26.3,2
Nador,35.1667,-2.9333,2026-09-17,26.0,21.4,0.2,1,13.6,30.6,3
Nador,35.1667,-2.9333,2026-09-18,25.1,22.2,0.6,8,13.3,29.9,3
Nador,35.1667,-2.9333,2026-09-19,25.1,22.4,0.6,15,22.3,47.2,3
Nador,35.1667,-2.9333,2026-09-20,26.2,22.5,0.15,13,28.8,50.0,3
Nador,35.1667,-2.9333,2026-09-21,26.1,22.6,0.0,5,25.0,43.9,3
Taza,34.2144,-4.0088,2026-09-15,33.5,19.5,0.0,0,13.0,27.0,3
Taza,34.2144,-4.0088,2026-09-16,30.8,21.0,0.0,0,24.1,49.7,2
Taza,34.2144,-4.0088,2026-09-17,30.3,17.6,0.0,8,11.8,25.2,3
Taza,34.2144,-4.0088,2026-09-18,28.8,18.6,0.0,5,17.3,36.4,3
Taza,34.2144,-4.0088,2026-09-19,29.2,18.7,0.0,3,25.5,53.3,3
Taza,34.2144,-4.0088,2026-09-20,29.1,19.8,0.0,5,26.9,50.0,2
Taza,34.2144,-4.0088,2026-09-21,28.8,20.0,0.0,5,26.9,49.3,3
Inezgane,30.3658,-9.5381,2026-09-15,34.3,25.0,0.0,8,10.8,31.7,3
Inezgane,30.3658,-9.5381,2026-09-16,32.7,21.3,0.0,0,12.3,33.1,1
Inezgane,30.3658,-9.5381,2026-09-17,26.4,21.0,0.0,0,14.4,41.8,3
Inezgane,30.3658,-9.5381,2026-09-18,25.7,20.0,0.0,0,14.4,38.5,2
Inezgane,30.3658,-9.5381,2026-09-19,25.7,20.3,0.0,0,14.9,40.7,45
Inezgane,30.3658,-9.5381,2026-09-20,28.8,21.3,0.0,0,15.0,30.6,45
Inezgane,30.3658,-9.5381,2026-09-21,33.6,21.6,0.0,0,12.8,27.0,45
Larache,35.1833,-6.15,2026-09-15,30.4,19.4,0.0,0,24.9,45.7,0
Larache,35.1833,-6.15,2026-09-16,27.4,18.5,0.0,0,16.9,32.4,45
Larache,35.1833,-6.15,2026-09-17,26.5,18.6,0.0,1,16.7,31.3,3
Larache,35.1833,-6.15,2026-09-18,26.2,16.9,0.0,5,16.3,32.4,45
Larache,35.1833,-6.15,2026-09-19,35.3,16.8,0.0,8,20.8,38.2,1
Larache,35.1833,-6.15,2026-09-20,36.8,21.4,0.0,1,18.4,34.9,0
Larache,35.1833,-6.15,2026-09-21,34.2,19.3,0.0,0,15.5,28.8,1
Al Khmissat,33.81,-6.06,2026-09-15,34.5,20.4,0.0,0,18.3,37.4,0
Al Khmissat,33.81,-6.06,2026-09-16,30.7,18.0,0.0,0,19.2,38.9,1
Al Khmissat,33.81,-6.06,2026-09-17,29.0,16.1,0.0,0,14.9,31.0,3
Al Khmissat,33.81,-6.06,2026-09-18,30.4,15.2,0.0,8,18.3,37.1,3
Al Khmissat,33.81,-6.06,2026-09-19,34.6,17.7,0.0,8,12.2,27.4,1
Al Khmissat,33.81,-6.06,2026-09-20,37.2,21.5,0.0,1,17.8,32.8,2
Al Khmissat,33.81,-6.06,2026-09-21,35.4,20.0,0.0,0,13.5,25.2,1
Guelmim,28.9833,-10.0667,2026-09-15,38.4,24.9,0.0,0,22.7,38.5,0
Guelmim,28.9833,-10.0667,2026-09-16,36.2,20.5,0.0,0,33.1,54.0,0
Guelmim,28.9833,-10.0667,2026-09-17,24.7,18.7,0.0,0,29.8,49.3,3
Guelmim,28.9833,-10.0667,2026-09-18,26.3,17.0,0.0,0,24.1,42.5,1
Guelmim,28.9833,-10.0667,2026-09-19,29.1,18.5,0.0,0,19.3,35.6,3
Guelmim,28.9833,-10.0667,2026-09-20,32.6,16.9,0.0,0,21.1,39.2,0
Guelmim,28.9833,-10.0667,2026-09-21,37.7,20.3,0.0,4,24.7,41.4,0
Ksar El Kebir,35.0,-5.9,2026-09-15,37.0,20.9,0.0,0,26.0,53.6,45
Ksar El Kebir,35.0,-5.9,2026-09-16,30.5,20.1,0.0,0,17.9,34.6,3
Ksar El Kebir,35.0,-5.9,2026-09-17,30.0,19.3,0.0,1,18.9,36.4,3
Ksar El Kebir,35.0,-5.9,2026-09-18,31.0,17.2,0.0,5,18.3,36.0,45
Ksar El Kebir,35.0,-5.9,2026-09-19,36.3,18.6,0.0,5,9.7,20.5,1
Ksar El Kebir,35.0,-5.9,2026-09-20,37.9,21.2,0.0,3,15.8,31.7,0
Ksar El Kebir,35.0,-5.9,2026-09-21,36.3,21.3,0.0,0,13.9,25.6,1
Khénifra,32.93,-5.66,2026-09-15,35.1,20.1,0.0,3,19.4,37.1,3
Khénifra,32.93,-5.66,2026-09-16,31.3,16.3,0.0,0,15.3,29.9,1
Khénifra,32.93,-5.66,2026-09-17,31.2,15.8,0.0,15,18.1,34.2,3
Khénifra,32.93,-5.66,2026-09-18,31.2,15.2,0.0,13,14.4,27.7,3
Khénifra,32.93,-5.66,2026-09-19,34.0,17.9,0.0,6,15.5,29.9,2
Khénifra,32.93,-5.66,2026-09-20,35.9,20.8,0.0,5,14.9,38.9,2
Khénifra,32.93,-5.66,2026-09-21,35.0,21.4,0.0,5,21.0,41.0,2
Skhirate,33.85,-7.03,2026-09-15,26.5,21.2,0.0,0,12.3,27.7,45
Skhirate,33.85,-7.03,2026-09-16,25.1,20.5,0.0,0,16.5,36.0,2
Skhirate,33.85,-7.03,2026-09-17,24.9,19.4,0.0,0,13.2,29.5,3
Skhirate,33.85,-7.03,2026-09-18,25.2,16.8,0.0,3,12.9,30.2,3
Skhirate,33.85,-7.03,2026-09-19,27.1,17.2,0.0,0,12.8,28.4,2
Skhirate,33.85,-7.03,2026-09-20,31.3,19.7,0.0,0,12.8,27.7,1
Skhirate,33.85,-7.03,2026-09-21,26.3,20.8,0.0,0,12.4,25.2,0
Beni Yakhlef,33.6555,-7.3221,2026-09-15,30.6,20.2,0.0,0,17.2,31.7,45
Beni Yakhlef,33.6555,-7.3221,2026-09-16,27.0,19.5,0.0,0,18.8,34.6,2
Beni Yakhlef,33.6555,-7.3221,2026-09-17,26.7,19.0,0.0,0,17.2,31.7,3
Beni Yakhlef,33.6555,-7.3221,2026-09-18,27.7,16.0,0.0,5,18.0,32.8,45
Beni Yakhlef,33.6555,-7.3221,2026-09-19,29.6,16.7,0.0,0,16.6,31.0,45
Beni Yakhlef,33.6555,-7.3221,2026-09-20,33.4,20.2,0.0,0,16.2,30.2,2
Beni Yakhlef,33.6555,-7.3221,2026-09-21,31.9,19.8,0.0,0,16.9,33.5,1
Sidi Yahya Zaer,33.7105,-6.8831,2026-09-15,32.6,20.7,0.0,0,19.0,37.8,0
Sidi Yahya Zaer,33.7105,-6.8831,2026-09-16,27.8,18.6,0.0,0,20.6,41.4,2
Sidi Yahya Zaer,33.7105,-6.8831,2026-09-17,27.3,16.1,0.0,0,17.4,35.3,45
Sidi Yahya Zaer,33.7105,-6.8831,2026-09-18,28.8,14.6,0.0,3,16.4,33.8,45
Sidi Yahya Zaer,33.7105,-6.8831,2026-09-19,32.9,16.5,0.0,2,15.4,33.1,1
Sidi Yahya Zaer,33.7105,-6.8831,2026-09-20,36.6,20.1,0.0,3,17.0,33.8,2
Sidi Yahya Zaer,33.7105,-6.8831,2026-09-21,32.3,18.5,0.0,0,15.5,31.7,1
Ben Guerir,32.23,-7.95,2026-09-15,37.2,24.5,0.0,3,22.7,44.6,3
Ben Guerir,32.23,-7.95,2026-09-16,32.3,19.6,0.0,0,20.2,40.0,1
Ben Guerir,32.23,-7.95,2026-09-17,29.1,16.7,0.0,0,15.7,32.0,3
Ben Guerir,32.23,-7.95,2026-09-18,30.9,16.7,0.0,8,15.8,32.8,3
Ben Guerir,32.23,-7.95,2026-09-19,35.0,18.0,0.0,4,15.2,31.7,2
Ben Guerir,32.23,-7.95,2026-09-20,38.6,24.8,0.0,0,16.7,34.6,2
Ben Guerir,32.23,-7.95,2026-09-21,34.3,23.5,0.0,3,19.4,35.3,2
Ait Ali,30.1739,-9.4881,2026-09-15,37.0,25.5,0.0,0,22.2,36.7,3
Ait Ali,30.1739,-9.4881,2026-09-16,32.1,22.2,0.0,0,24.9,40.0,1
Ait Ali,30.1739,-9.4881,2026-09-17,27.4,20.9,0.0,0,27.0,43.6,3
Ait Ali,30.1739,-9.4881,2026-09-18,27.3,20.0,0.0,0,22.0,37.8,2
Ait Ali,30.1739,-9.4881,2026-09-19,27.0,20.3,0.0,0,21.6,36.0,2
Ait Ali,30.1739,-9.4881,2026-09-20,27.3,20.8,0.0,0,19.7,33.8,45
Ait Ali,30.1739,-9.4881,2026-09-21,29.7,20.8,0.0,0,16.6,28.8,45
My Drarga,30.3805,-9.4763,2026-09-15,36.7,25.9,0.0,8,13.9,30.2,3
My Drarga,30.3805,-9.4763,2026-09-16,32.1,22.4,0.0,0,15.4,36.0,1
My Drarga,30.3805,-9.4763,2026-09-17,27.3,20.9,0.0,0,19.9,44.3,3
My Drarga,30.3805,-9.4763,2026-09-18,27.2,20.0,0.0,0,17.4,37.4,2
My Drarga,30.3805,-9.4763,2026-09-19,27.4,20.6,0.0,0,17.8,37.1,45
My Drarga,30.3805,-9.4763,2026-09-20,28.6,21.1,0.0,0,15.0,30.6,45
My Drarga,30.3805,-9.4763,2026-09-21,33.4,21.5,0.0,0,12.8,27.0,45
Lqoliaa,30.2942,-9.4544,2026-09-15,38.0,25.7,0.0,3,19.9,42.1,3
Lqoliaa,30.2942,-9.4544,2026-09-16,32.0,21.7,0.0,0,22.3,43.9,2
Lqoliaa,30.2942,-9.4544,2026-09-17,28.1,21.2,0.0,0,20.0,42.8,3
Lqoliaa,30.2942,-9.4544,2026-09-18,28.0,20.1,0.0,3,19.8,43.2,1
Lqoliaa,30.2942,-9.4544,2026-09-19,27.8,20.2,0.0,3,22.4,47.9,45
Lqoliaa,30.2942,-9.4544,2026-09-20,26.7,20.5,0.0,0,18.9,41.8,2
Lqoliaa,30.2942,-9.4544,2026-09-21,29.0,20.4,0.0,0,15.8,35.6,45
El Kelaa des Srarhna,32.05,-7.4,2026-09-15,37.7,25.6,0.1,3,20.7,39.2,3
El Kelaa des Srarhna,32.05,-7.4,2026-09-16,34.1,20.9,0.0,0,19.3,33.5,0
El Kelaa des Srarhna,32.05,-7.4,2026-09-17,30.2,17.1,0.0,3,15.3,26.6,3
El Kelaa des Srarhna,32.05,-7.4,2026-09-18,31.6,18.2,0.0,5,15.0,25.9,1
El Kelaa des Srarhna,32.05,-7.4,2026-09-19,36.2,19.6,0.0,8,14.8,26.6,2
El Kelaa des Srarhna,32.05,-7.4,2026-09-20,37.8,23.5,0.6,1,11.4,23.8,2
El Kelaa des Srarhna,32.05,-7.4,2026-09-21,35.6,21.9,0.6,8,11.9,23.0,3
