city_name,latitude,longitude,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code
Béni Mellal,32.3394,-6.3608,2026-09-21,35.3,24.2,0.0,2,18.7,40.0,3
Béni Mellal,32.3394,-6.3608,2026-09-22,34.2,24.0,0.0,0,17.6,37.8,3
Béni Mellal,32.3394,-6.3608,2026-09-23,36.0,23.3,0.0,0,16.5,33.8,0
Béni Mellal,32.3394,-6.3608,2026-09-24,36.3,25.3,0.0,0,13.2,33.8,0
Bouskoura,33.4489,-7.6486,2026-09-18,26.6,17.1,0.0,0,15.6,38.2,3
Bouskoura,33.4489,-7.6486,2026-09-19,30.0,18.6,0.0,0,15.0,37.4,45
Bouskoura,33.4489,-7.6486,2026-09-20,33.6,20.0,0.0,0,14.8,37.1,2
Bouskoura,33.4489,-7.6486,2026-09-21,33.0,21.2,0.0,0,14.7,37.8,1
Bouskoura,33.4489,-7.6486,2026-09-22,32.5,20.2,0.0,0,13.4,33.8,45
Bouskoura,33.4489,-7.6486,2026-09-23,28.5,18.5,0.0,0,12.6,32.8,45
Bouskoura,33.4489,-7.6486,2026-09-24,28.5,18.9,0.0,0,11.0,33.5,45
Tiznit,29.7,-9.7269,2026-09-18,24.9,18.8,0.0,0,19.9,33.8,2
Tiznit,29.7,-9.7269,2026-09-19,27.2,19.0,0.0,0,17.5,29.5,1
Tiznit,29.7,-9.7269,2026-09-20,29.0,20.1,0.0,0,11.0,20.5,3
Tiznit,29.7,-9.7269,2026-09-21,33.9,21.9,0.0,0,15.3,25.9,2
Tiznit,29.7,-9.7269,2026-09-22,32.8,23.4,0.0,0,16.7,29.2,0
Tiznit,29.7,-9.7269,2026-09-23,28.7,19.8,0.0,0,15.0,26.3,1
Tiznit,29.7,-9.7269,2026-09-24,27.4,17.8,0.0,0,14.4,23.0,45
Mohammedia,33.6833,-7.3833,2026-09-18,24.5,17.1,0.0,0,13.9,35.3,3
Mohammedia,33.6833,-7.3833,2026-09-19,26.9,17.7,0.0,0,12.6,31.0,45
Mohammedia,33.6833,-7.3833,2026-09-20,28.5,19.8,0.0,0,11.8,28.8,2
Mohammedia,33.6833,-7.3833,2026-09-21,27.8,20.5,0.0,0,11.8,29.9,1
Mohammedia,33.6833,-7.3833,2026-09-22,27.9,20.0,0.0,0,11.5,28.1,45
