city_name,latitude_city,longitude_city,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code,temperature_category,precipitation_category,wind_category,forecast_day,month,day_of_week
Tiznit,29.7,-9.7269,2026-09-19,27.2,19.0,0.0,0,17.5,29.5,1,Normal,None,Low,19,9,Saturday
Tiznit,29.7,-9.7269,2026-09-20,29.0,20.1,0.0,0,11.0,20.5,3,Normal,None,Low,20,9,Sunday
Tiznit,29.7,-9.7269,2026-09-21,33.9,21.9,0.0,0,15.3,25.9,2,High,None,Low,21,9,Monday
Tiznit,29.7,-9.7269,2026-09-22,32.8,23.4,0.0,0,16.7,29.2,0,High,None,Low,22,9,Tuesday
Tiznit,29.7,-9.7269,2026-09-23,28.7,19.8,0.0,0,15.0,26.3,1,Normal,None,Low,23,9,Wednesday
Tiznit,29.7,-9.7269,2026-09-24,27.4,17.8,0.0,0,14.4,23.0,45,Normal,None,Low,24,9,Thursday
Mohammedia,33.6833,-7.3833,2026-09-18,24.5,17.1,0.0,0,13.9,35.3,3,Normal,None,Low,18,9,Friday
Mohammedia,33.6833,-7.3833,2026-09-19,26.9,17.7,0.0,0,12.6,31.0,45,Normal,None,Low,19,9,Saturday
Mohammedia,33.6833,-7.3833,2026-09-20,28.5,19.8,0.0,0,11.8,28.8,2,Normal,None,Low,20,9,Sunday
Mohammedia,33.6833,-7.3833,2026-09-21,27.8,20.5,0.0,0,11.8,29.9,1,Normal,None,Low,21,9,Monday
Mohammedia,33.6833,-7.3833,2026-09-22,27.9,20.0,0.0,0,11.5,28.1,45,Normal,None,Low,22,9,Tuesday
Mohammedia,33.6833,-7.3833,2026-09-23,30.5,19.4,0.0,0,16.9,31.0,45,High,None,Low,23,9,Wednesday
Mohammedia,33.6833,-7.3833,2026-09-24,30.9,18.5,0.0,0,15.8,32.8,45,High,None,Low,24,9,Thursday
Kouribga,32.88,-6.9,2026-09-18,29.7,15.0,0.0,0,19.6,37.4,3,Normal,None,Low,18,9,Friday
Kouribga,32.88,-6.9,2026-09-19,34.2,18.5,0.0,0,20.7,42.8,2,High,None,Moderate,19,9,Saturday
Kouribga,32.88,-6.9,2026-09-20,34.4,21.5,0.4,15,21.4,41.0,80,High,Low,Moderate,20,9,Sunday
Kouribga,32.88,-6.9,2026-09-21,33.4,21.2,0.6,0,17.5,40.0,2,High,Low,Low,21,9,Monday
Kouribga,32.88,-6.9,2026-09-22,33.7,21.1,0.0,0,17.1,32.0,2,High,None,Low,22,9,Tuesday
Kouribga,32.88,-6.9,2026-09-23,34.0,17.7,0.0,0,18.7,40.7,1,High,None,Low,23,9,Wednesday
Kouribga,32.88,-6.9,2026-09-24,34.0,17.6,0.0,0,15.5,40.3,0,High,None,Low,24,9,Thursday
Settat,33.0023,-7.6198,2026-09-18,29.4,15.9,0.0,0,18.5,39.2,3,Normal,None,Low,18,9,Friday
Settat,33.0023,-7.6198,2026-09-19,34.1,17.6,0.0,0,16.3,34.9,2,High,None,Low,19,9,Saturday
Settat,33.0023,-7.6198,2026-09-20,36.0,20.6,0.0,0,18.2,38.2,2,Very High,None,Low,20,9,Sunday
Settat,33.0023,-7.6198,2026-09-21,36.4,22.0,0.0,0,15.8,37.1,2,Very High,None,Low,21,9,Monday
Settat,33.0023,-7.6198,2026-09-22,35.7,19.9,0.0,0,14.8,36.4,1,Very High,None,Low,22,9,Tuesday
Settat,33.0023,-7.6198,2026-09-23,34.4,17.7,0.0,0,18.4,35.6,0,High,None,Low,23,9,Wednesday
Settat,33.0023,-7.6198,2026-09-24,33.4,18.7,0.0,0,15.6,38.2,0,High,None,Low,24,9,Thursday
Barrechid,33.27,-7.5872,2026-09-18,29.0,15.8,0.0,0,19.1,34.9,3,Normal,None,Low,18,9,Friday
Barrechid,33.27,-7.5872,2026-09-19,33.4,17.1,0.0,0,17.4,31.7,2,High,None,Low,19,9,Saturday
Barrechid,33.27,-7.5872,2026-09-20,36.2,18.9,0.0,0,19.9,36.0,2,Very High,None,Low,20,9,Sunday
Barrechid,33.27,-7.5872,2026-09-21,35.4,20.2,0.0,0,18.4,37.8,2,Very High,None,Low,21,9,Monday
Barrechid,33.27,-7.5872,2026-09-22,35.3,19.2,0.0,0,17.3,32.8,1,Very High,None,Low,22,9,Tuesday
Barrechid,33.27,-7.5872,2026-09-23,33.2,17.6,0.0,0,19.6,34.2,45,High,None,Low,23,9,Wednesday
