city_name,latitude_city,longitude_city,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code,temperature_category,precipitation_category,wind_category,forecast_day,month,day_of_week,rain_risk,wind_risk,temperature_risk,probability_risk,risk_score,risk_level
Safi,32.2833,-9.2333,2026-09-23,28.3,19.6,0.0,0,14.1,27.7,45,Normal,None,Low,23,9,Wednesday,0,0,0,0,0.0,Faible
Safi,32.2833,-9.2333,2026-09-24,26.4,18.7,0.0,0,13.0,28.1,45,Normal,None,Low,24,9,Thursday,0,0,0,0,0.0,Faible
Taourirt,34.41,-2.89,2026-09-18,29.5,18.1,0.0,0,32.0,53.6,3,Normal,None,Moderate,18,9,Friday,0,25,0,0,7.5,Faible
Taourirt,34.41,-2.89,2026-09-19,30.6,20.1,0.3,28,29.0,48.2,80,High,Low,Moderate,19,9,Saturday,20,25,30,25,24.25,Faible
Taourirt,34.41,-2.89,2026-09-20,31.2,21.4,0.0,3,30.8,50.8,45,High,None,Moderate,20,9,Sunday,0,25,30,0,13.5,Faible
Taourirt,34.41,-2.89,2026-09-21,28.7,20.4,0.0,3,25.5,44.6,3,Normal,None,Moderate,21,9,Monday,0,25,0,0,7.5,Faible
Taourirt,34.41,-2.89,2026-09-22,31.0,17.9,0.0,0,23.4,44.6,1,High,None,Moderate,22,9,Tuesday,0,25,30,0,13.5,Faible
Taourirt,34.41,-2.89,2026-09-23,31.8,19.1,0.0,0,21.9,38.9,0,High,None,Moderate,23,9,Wednesday,0,25,30,0,13.5,Faible
Taourirt,34.41,-2.89,2026-09-24,33.7,18.1,0.0,0,20.2,39.2,0,High,None,Moderate,24,9,Thursday,0,25,30,0,13.5,Faible
Temara,33.9234,-6.9076,2026-09-18,25.5,15.6,0.0,0,14.0,37.4,45,Normal,None,Low,18,9,Friday,0,0,0,0,0.0,Faible
Temara,33.9234,-6.9076,2026-09-19,29.6,17.0,0.0,0,14.3,37.8,1,Normal,None,Low,19,9,Saturday,0,0,0,0,0.0,Faible
Temara,33.9234,-6.9076,2026-09-20,29.9,19.6,0.0,0,10.9,30.6,1,Normal,None,Low,20,9,Sunday,0,0,0,0,0.0,Faible
Temara,33.9234,-6.9076,2026-09-21,30.4,20.5,0.0,0,12.2,32.0,1,High,None,Low,21,9,Monday,0,0,30,0,6.0,Faible
Temara,33.9234,-6.9076,2026-09-22,29.8,19.8,0.0,0,11.0,29.9,0,Normal,None,Low,22,9,Tuesday,0,0,0,0,0.0,Faible
Temara,33.9234,-6.9076,2026-09-23,26.4,19.4,0.0,0,13.3,25.6,45,Normal,None,Low,23,9,Wednesday,0,0,0,0,0.0,Faible
Temara,33.9234,-6.9076,2026-09-24,25.9,19.0,0.0,0,9.4,25.2,45,Normal,None,Low,24,9,Thursday,0,0,0,0,0.0,Faible
Laâyoune,27.15,-13.2,2026-09-18,28.0,19.8,0.1,0,29.3,56.9,51,Normal,Low,Moderate,18,9,Friday,20,25,0,0,14.5,Faible
Laâyoune,27.15,-13.2,2026-09-19,29.0,18.3,0.0,0,23.8,47.5,2,Normal,None,Moderate,19,9,Saturday,0,25,0,0,7.5,Faible
Laâyoune,27.15,-13.2,2026-09-20,32.2,18.6,0.0,0,18.9,38.9,3,High,None,Low,20,9,Sunday,0,0,30,0,6.0,Faible
Laâyoune,27.15,-13.2,2026-09-21,36.5,20.6,0.0,0,22.8,44.6,0,Very High,None,Moderate,21,9,Monday,0,25,60,0,19.5,Faible
Laâyoune,27.15,-13.2,2026-09-22,35.6,21.4,0.0,2,26.8,51.8,1,Very High,None,Moderate,22,9,Tuesday,0,25,60,0,19.5,Faible
Laâyoune,27.15,-13.2,2026-09-23,38.6,21.2,0.0,2,23.5,46.1,0,Very High,None,Moderate,23,9,Wednesday,0,25,60,0,19.5,Faible
